?? [s],A 1.dY [mm],B1.dY [mm],C1.dY [mm],? 1.dY [mm],? 1-1.dY [mm],? 1-2.dY [mm],? 1-3.dY [mm],? 1-4.dY [mm],? 2.dY [mm],? 3.dY [mm]
547.500026,4.835741,5.030665,4.816333,4.857609,4.852787,4.873159,4.905125,4.884435,5.025845,4.846692
548.000026,4.838044,5.034351,4.818709,4.859939,4.855102,4.872030,4.907675,4.886826,5.029708,4.848626
548.500026,4.840455,5.037904,4.820617,4.861901,4.855425,4.876129,4.909697,4.888781,5.032467,4.850017
549.000026,4.843574,5.042537,4.823339,4.864770,4.859359,4.881457,4.913631,4.891820,5.036516,4.852818
549.500026,4.847830,5.047262,4.826462,4.870060,4.864788,4.883939,4.919591,4.897323,5.043091,4.856909
550.000026,4.850644,5.051478,4.829046,4.873122,4.866989,4.888195,4.922680,4.900622,5.046933,4.859034
550.500026,4.852619,5.055283,4.831398,4.874131,4.869335,4.890078,4.923942,4.901623,5.049235,4.859862
551.000026,4.854648,5.059661,4.834226,4.877487,4.873207,4.888194,4.927039,4.905044,5.054127,4.862559
551.500026,4.859312,5.064915,4.838650,4.882084,4.878399,4.898424,4.933192,4.910382,5.060220,4.867415
552.000026,4.862884,5.069223,4.841707,4.885829,4.877164,4.900325,4.935186,4.914114,5.065349,4.871807
552.500026,4.865499,5.072577,4.843653,4.886591,4.881354,4.906820,4.937392,4.914940,5.067398,4.872710
553.000026,4.868673,5.077234,4.846202,4.887965,4.881766,4.904029,4.938863,4.916334,5.070281,4.874005
553.500026,4.873035,5.083415,4.850429,4.895315,4.892008,4.911873,4.946276,4.923664,5.079336,4.881928
554.000026,4.877573,5.089464,4.854333,4.899880,4.894802,4.919317,4.949809,4.928267,5.086109,4.886348
554.500026,4.879810,5.093902,4.856515,4.900578,4.895998,4.912096,4.950787,4.928960,5.088416,4.886662
555.000026,4.882976,5.098726,4.858814,4.902665,4.895470,4.915905,4.953434,4.931353,5.092773,4.888497
555.500026,4.887107,5.105890,4.862538,4.908797,4.904435,4.919711,4.960085,4.937265,5.100729,4.893390
556.000026,4.891984,5.113133,4.866460,4.915863,4.911529,4.927868,4.967656,4.944645,5.109353,4.898426
556.500026,4.894899,5.118945,4.868540,4.917934,4.913807,4.932515,4.970580,4.947034,5.114267,4.899978
557.000026,4.897068,5.123315,4.870231,4.918803,4.915098,4.932571,4.970833,4.948250,5.117346,4.900482
557.500026,4.900380,5.128401,4.872553,4.921827,4.918272,4.935424,4.974843,4.951378,5.122733,4.902543
558.000026,4.904188,5.134656,4.876214,4.925984,4.919854,4.943677,4.979086,4.955937,5.129323,4.905881
558.500026,4.907701,5.140342,4.879025,4.929601,4.925189,4.942198,4.983104,4.959521,5.135642,4.908906
559.000026,4.910523,5.146222,4.881689,4.931308,4.926747,4.945584,4.983389,4.961278,5.139846,4.910071
559.500026,4.913860,5.152586,4.884399,4.935215,4.931255,4.951905,4.988112,4.964995,5.146432,4.914278
560.000026,4.917187,5.159180,4.886932,4.940729,4.937143,4.960105,4.993097,4.970277,5.154478,4.919383
560.500026,4.919803,5.165360,4.888701,4.941937,4.937440,4.957482,4.995218,4.971259,5.159209,4.919232
561.000026,4.921829,5.171123,4.889591,4.944546,4.938588,4.959400,4.996295,4.973935,5.165436,4.920318
561.500026,4.924755,5.177635,4.890524,4.947391,4.940778,4.962557,4.998965,4.977093,5.172845,4.921641
562.000026,4.927249,5.184604,4.891405,4.949766,4.943526,4.963725,5.005225,4.979542,5.179202,4.930592
562.500026,4.929175,5.191019,4.891822,4.951541,4.946049,4.967169,5.005025,4.981501,5.185526,4.923609
563.000026,4.929649,5.198939,4.891716,4.953438,4.948974,4.969381,5.009488,4.983527,5.192217,4.925157
563.500026,4.930324,5.208151,4.890773,4.951666,4.942192,4.975207,5.006862,4.981748,5.202039,4.929958
564.000026,4.929965,5.219631,4.889155,4.952462,4.944245,4.985702,5.005909,4.982916,5.213795,4.920667
564.500026,4.919248,5.250832,4.856823,4.953665,4.943690,4.980577,5.009578,4.984552,5.225451,4.925782
565.000026,4.821759,5.352447,4.783585,4.922143,4.917529,4.923666,4.979310,4.952731,5.294335,4.825790
565.500026,4.768136,5.456578,4.706102,4.656371,4.656165,4.646261,4.689696,4.677481,5.517767,4.693536
566.000026,,6.047577,3.700220,4.652255,4.651457,4.659643,4.684988,4.673575,5.537334,4.672254
566.500026,1.788835,6.573337,2.743487,1.785171,,,,1.794593,7.075233,1.774447
567.000026,1.788835,7.097918,1.797450,1.812920,,1.811108,1.827569,1.821570,7.101143,1.809993
567.500026,,7.116398,1.813305,1.829037,,,,1.837870,7.117162,1.825611
568.000026,,7.129800,1.820984,1.837174,,,,1.845798,7.130276,1.832508
568.500026,1.826308,7.140951,1.822904,1.835324,1.835859,1.803283,1.850262,1.844176,7.141109,1.829499
569.000026,1.827563,7.151030,1.822837,1.835949,1.852820,1.837648,1.849189,1.844579,7.151131,1.830639
569.500026,1.828584,7.159529,1.822692,1.837246,,,,1.845895,7.160054,1.825301
570.000026,,7.165900,1.821322,1.835825,,,,1.844572,7.166254,1.830376
570.500026,,7.171114,1.818806,1.832458,,,,1.840557,7.169950,1.826065
571.000026,,7.176156,1.816049,1.830134,1.846062,1.828945,1.843809,1.838870,7.175443,1.824671
571.500026,1.818528,7.181574,1.813546,1.828526,1.833931,,,1.836930,7.181073,1.822531
572.000026,,7.186321,1.810391,1.826338,,,,1.834623,7.185997,1.821623
572.500026,1.814507,7.189421,1.805985,1.822511,1.817950,1.822169,1.836720,1.830510,7.189361,1.817759
573.000026,,7.191636,1.801266,1.817222,,,,1.825137,7.191140,1.812370
573.500026,,7.194142,1.797445,1.812650,,,,1.820692,7.192970,1.807389
574.000026,,7.196691,1.794486,1.811455,,,,1.819449,7.197650,1.805871
574.500026,1.793956,7.198396,1.793419,1.807862,1.818458,1.786889,1.821701,1.816099,7.198859,1.793150
